Data Size,Test Size,True Positives,True Negative,False Positives,False Negatives,Bogus size,False Pos: bogus,Duplicate values num
Binary Fuse - 16
1000000,50000,50000,949988,12,0,1000000,12,1
1000000,100000,100000,899991,9,0,1000000,10,1
1000000,150000,150000,849990,10,0,1000000,16,1
1000000,200000,200000,799993,7,0,1000000,18,1
1000000,250000,250000,749994,6,0,1000000,19,1
1000000,300000,300000,699990,10,0,1000000,20,1
1000000,350000,350000,649994,6,0,1000000,17,1
1000000,400000,400000,599994,6,0,1000000,17,1
1000000,450000,450000,549989,11,0,1000000,14,1
1000000,500000,500000,499992,8,0,1000000,22,1
1000000,550000,550000,449996,4,0,1000000,15,1
1000000,600000,600000,399992,8,0,1000000,13,1
1000000,650000,650000,349995,5,0,1000000,11,1
1000000,700000,700000,299996,4,0,1000000,14,1
1000000,750000,750000,249997,3,0,1000000,19,1
1000000,800000,800000,199997,3,0,1000000,10,1
1000000,850000,850000,149999,1,0,1000000,16,1
1000000,900000,900000,99999,1,0,1000000,11,1
1000000,950000,950000,50000,0,0,1000000,20,1
1000000,1000000,1000000,0,0,0,1000000,10,1
Binary Fuse - 8
1000000,50000,50000,946292,3708,0,1000000,3790,1
1000000,100000,100000,896505,3495,0,1000000,3802,1
1000000,150000,150000,846682,3318,0,1000000,4016,1
1000000,200000,200000,796860,3140,0,1000000,3994,1
1000000,250000,250000,747079,2921,0,1000000,3994,1
1000000,300000,300000,697262,2738,0,1000000,3934,1
1000000,350000,350000,647558,2442,0,1000000,3797,1
1000000,400000,400000,597583,2417,0,1000000,3768,1
1000000,450000,450000,547854,2146,0,1000000,3956,1
1000000,500000,500000,498007,1993,0,1000000,3904,1
1000000,550000,550000,448250,1750,0,1000000,3806,1
1000000,600000,600000,398422,1578,0,1000000,3752,1
1000000,650000,650000,348634,1366,0,1000000,3863,1
1000000,700000,700000,298845,1155,0,1000000,4030,1
1000000,750000,750000,249051,949,0,1000000,3968,1
1000000,800000,800000,199242,758,0,1000000,3825,1
1000000,850000,850000,149427,573,0,1000000,3760,1
1000000,900000,900000,99652,348,0,1000000,3974,1
1000000,950000,950000,49807,193,0,1000000,3976,1
1000000,1000000,1000000,0,0,0,1000000,3906,1
Bloom - 8
1000000,50000,50000,929397,20603,0,1000000,21182,1
1000000,100000,100000,880716,19284,0,1000000,20906,1
1000000,150000,150000,831819,18181,0,1000000,21761,1
1000000,200000,200000,782814,17186,0,1000000,28892,1
1000000,250000,250000,733898,16102,0,1000000,21361,1
1000000,300000,300000,684909,15091,0,1000000,21540,1
1000000,350000,350000,636019,13981,0,1000000,21106,1
1000000,400000,400000,587253,12747,0,1000000,21307,1
1000000,450000,450000,538227,11773,0,1000000,21255,1
1000000,500000,500000,489232,10768,0,1000000,21299,1
1000000,550000,550000,440516,9484,0,1000000,21145,1
1000000,600000,600000,391389,8611,0,1000000,21263,1
1000000,650000,650000,342373,7627,0,1000000,21317,1
1000000,700000,700000,293489,6511,0,1000000,21492,1
1000000,750000,750000,244720,5280,0,1000000,21463,1
1000000,800000,800000,195601,4399,0,1000000,21978,1
1000000,850000,850000,146666,3334,0,1000000,21156,1
1000000,900000,900000,97843,2157,0,1000000,21280,1
1000000,950000,950000,48902,1098,0,1000000,21523,1
1000000,1000000,1000000,0,0,0,1000000,29439,1
Bloom - 16
1000000,50000,50000,949539,461,0,1000000,483,1
1000000,100000,100000,899585,415,0,1000000,463,1
1000000,150000,150000,849605,395,0,1000000,438,1
1000000,200000,200000,799642,358,0,1000000,468,1
1000000,250000,250000,749688,312,0,1000000,463,1
1000000,300000,300000,699659,341,0,1000000,491,1
1000000,350000,350000,649703,297,0,1000000,448,1
1000000,400000,400000,599735,265,0,1000000,428,1
1000000,450000,450000,549735,265,0,1000000,456,1
1000000,500000,500000,499781,219,0,1000000,464,1
1000000,550000,550000,449791,209,0,1000000,476,1
1000000,600000,600000,399839,161,0,1000000,455,1
1000000,650000,650000,349822,178,0,1000000,427,1
1000000,700000,700000,299876,124,0,1000000,429,1
1000000,750000,750000,249886,114,0,1000000,415,1
1000000,800000,800000,199897,103,0,1000000,470,1
1000000,850000,850000,149940,60,0,1000000,480,1
1000000,900000,900000,99952,48,0,1000000,464,1
1000000,950000,950000,49980,20,0,1000000,460,1
1000000,1000000,1000000,0,0,0,1000000,486,1
Cuckoo - 8
1000000,50000,50000,922067,27933,0,1000000,28944,1
1000000,100000,100000,873646,26354,0,1000000,28851,1
1000000,150000,150000,825347,24653,0,1000000,29096,1
1000000,200000,200000,776754,23246,0,1000000,29082,1
1000000,250000,250000,728188,21812,0,1000000,29058,1
1000000,300000,300000,679592,20408,0,1000000,29126,1
1000000,350000,350000,631080,18920,0,1000000,28558,1
1000000,400000,400000,582364,17636,0,1000000,28814,1
1000000,450000,450000,534117,15883,0,1000000,29082,1
1000000,500000,500000,485163,14837,0,1000000,29009,1
1000000,550000,550000,436940,13060,0,1000000,28643,1
1000000,600000,600000,388253,11747,0,1000000,28863,1
1000000,650000,650000,339819,10181,0,1000000,29032,1
1000000,700000,700000,291171,8829,0,1000000,29005,1
1000000,750000,750000,242829,7171,0,1000000,29029,1
1000000,800000,800000,194064,5936,0,1000000,28935,1
1000000,850000,850000,145699,4301,0,1000000,29091,1
1000000,900000,900000,97169,2831,0,1000000,28820,1
1000000,950000,950000,48539,1461,0,1000000,36696,1
1000000,1000000,1000000,0,0,0,1000000,29310,1
Cuckoo - 16
1000000,100000,100000,899891,109,0,1000000,117,1
1000000,200000,200000,799895,105,0,1000000,102,1
1000000,300000,300000,699922,78,0,1000000,117,1
1000000,400000,400000,599930,70,0,1000000,103,1
1000000,500000,500000,499934,66,0,1000000,110,1
1000000,600000,600000,399956,44,0,1000000,109,1
1000000,700000,700000,299964,36,0,1000000,119,1
1000000,800000,800000,199972,28,0,1000000,112,1
1000000,900000,900000,99994,6,0,1000000,118,1
