Data Size,Test Size,Total Data Size (Bytes),Average length (bytes/name),Test Data Size (bytes),Filter Size (bytes),%usage(wrt to test data size),Usage (wrt to test_size[bits / entry])
Binary Fuse - 16
1000000,50000,23112842,23.1,1402993,122920,8.76 %,19.7
1000000,100000,23112842,23.1,2521513,237608,9.42 %,19.0
1000000,150000,23112842,23.1,3628107,352296,9.71 %,18.8
1000000,200000,23112842,23.1,4710307,466984,9.91 %,18.7
1000000,250000,23112842,23.1,5862576,581672,9.92 %,18.6
1000000,300000,23112842,23.1,7044993,696360,9.88 %,18.6
1000000,350000,23112842,23.1,8319461,802856,9.65 %,18.4
1000000,400000,23112842,23.1,9360035,917544,9.80 %,18.4
1000000,450000,23112842,23.1,10506230,1032232,9.82 %,18.4
1000000,500000,23112842,23.1,11671689,1146920,9.83 %,18.4
1000000,550000,23112842,23.1,12745306,1261608,9.90 %,18.4
1000000,600000,23112842,23.1,14064969,1376296,9.79 %,18.4
1000000,650000,23112842,23.1,15253748,1474600,9.67 %,18.1
1000000,700000,23112842,23.1,16482087,1589288,9.64 %,18.2
1000000,750000,23112842,23.1,17800805,1703976,9.57 %,18.2
1000000,800000,23112842,23.1,18901696,1818664,9.62 %,18.2
1000000,850000,23112842,23.1,19931657,1933352,9.70 %,18.2
1000000,900000,23112842,23.1,21124474,2031656,9.62 %,18.1
1000000,950000,23112842,23.1,22116604,2146344,9.70 %,18.1
1000000,1000000,23112842,23.1,23112842,2261032,9.78 %,18.1
Binary Fuse - 8
1000000,50000,23112842,23.1,1402993,61480,4.38 %,9.8
1000000,100000,23112842,23.1,2521513,118824,4.71 %,9.5
1000000,150000,23112842,23.1,3628107,176168,4.86 %,9.4
1000000,200000,23112842,23.1,4710307,233512,4.96 %,9.3
1000000,250000,23112842,23.1,5862576,290856,4.96 %,9.3
1000000,300000,23112842,23.1,7044993,348200,4.94 %,9.3
1000000,350000,23112842,23.1,8319461,401448,4.83 %,9.2
1000000,400000,23112842,23.1,9360035,458792,4.90 %,9.2
1000000,450000,23112842,23.1,10506230,516136,4.91 %,9.2
1000000,500000,23112842,23.1,11671689,573480,4.91 %,9.2
1000000,550000,23112842,23.1,12745306,630824,4.95 %,9.2
1000000,600000,23112842,23.1,14064969,688168,4.89 %,9.2
1000000,650000,23112842,23.1,15253748,737320,4.83 %,9.1
1000000,700000,23112842,23.1,16482087,794664,4.82 %,9.1
1000000,750000,23112842,23.1,17800805,852008,4.79 %,9.1
1000000,800000,23112842,23.1,18901696,909352,4.81 %,9.1
1000000,850000,23112842,23.1,19931657,966696,4.85 %,9.1
1000000,900000,23112842,23.1,21124474,1015848,4.81 %,9.0
1000000,950000,23112842,23.1,22116604,1073192,4.85 %,9.0
1000000,1000000,23112842,23.1,23112842,1130536,4.89 %,9.0
Bloom - 8
1000000,50000,23112842,23.1,1402993,50000,3.56 %,8.0
1000000,100000,23112842,23.1,2521513,100000,3.97 %,8.0
1000000,150000,23112842,23.1,3628107,150000,4.13 %,8.0
1000000,200000,23112842,23.1,4710307,200000,4.25 %,8.0
1000000,250000,23112842,23.1,5862576,250000,4.26 %,8.0
1000000,300000,23112842,23.1,7044993,300000,4.26 %,8.0
1000000,350000,23112842,23.1,8319461,350000,4.21 %,8.0
1000000,400000,23112842,23.1,9360035,400000,4.27 %,8.0
1000000,450000,23112842,23.1,10506230,450000,4.28 %,8.0
1000000,500000,23112842,23.1,11671689,500000,4.28 %,8.0
1000000,550000,23112842,23.1,12745306,550000,4.32 %,8.0
1000000,600000,23112842,23.1,14064969,600000,4.27 %,8.0
1000000,650000,23112842,23.1,15253748,650000,4.26 %,8.0
1000000,700000,23112842,23.1,16482087,700000,4.25 %,8.0 
1000000,750000,23112842,23.1,17800805,750000,4.21 %,8.0
1000000,800000,23112842,23.1,18901696,800000,4.23 %,8.0
1000000,850000,23112842,23.1,19931657,850000,4.26 %,8.0
1000000,900000,23112842,23.1,21124474,900000,4.26 %,8.0
1000000,950000,23112842,23.1,22116604,950000,4.30 %,8.0
1000000,1000000,23112842,23.1,23112842,1000000,4.33 %,8.0
Bloom - 16
1000000,50000,23112842,23.1,1402993,100000,7.13 %,16.0
1000000,100000,23112842,23.1,2521513,200000,7.93 %,16.0
1000000,150000,23112842,23.1,3628107,300000,8.27 %,16.0
1000000,200000,23112842,23.1,4710307,400000,8.49 %,16.0
1000000,250000,23112842,23.1,5862576,500000,8.53 %,16.0
1000000,300000,23112842,23.1,7044993,600000,8.52 %,16.0
1000000,350000,23112842,23.1,8319461,700000,8.41 %,16.0
1000000,400000,23112842,23.1,9360035,800000,8.55 %,16.0
1000000,450000,23112842,23.1,10506230,900000,8.57 %,16.0
1000000,500000,23112842,23.1,11671689,1000000,8.57 %,16.0
1000000,550000,23112842,23.1,12745306,1100000,8.63 %,16.0
1000000,600000,23112842,23.1,14064969,1200000,8.53 %,16.0
1000000,650000,23112842,23.1,15253748,1300000,8.52 %,16.0
1000000,700000,23112842,23.1,16482087,1400000,8.49 %,16.0
